x,y,uA_true,uA_pred,uA_error,uB_true,uB_pred,uB_error,uC_true,uC_pred,uC_error
0.0,0.41,0.0001977983978137,0.00087668747,4.6089036839402353e-07,0.0006684981997156,0.0026119053,3.776831298838141e-06,1.2908815728544948e-07,-0.00030767173,9.474134104196857e-08
0.0,0.0,0.0011166978109656,0.00356438,5.991148633629259e-06,0.0001736944461738,0.0005670786,1.5475108492312458e-07,1.87681638165708e-07,-0.00043386966,1.8840577574375735e-07
2.2,0.0,0.001919435446547,0.0040604696,4.584027108265664e-06,0.0017251342661007,0.00044628978,1.6354432253702894e-06,3.3300304796315037e-06,-0.0030821785,9.520363095782789e-06
2.2,0.41,0.00194088690081,0.0013557896,3.4233884930549036e-07,0.0017247032661129,0.002819866,1.1993812866591346e-06,3.362843643431731e-06,-0.0017208531,2.972920792359582e-06
0.2404508497187474,0.2293892626146237,0.0009885244502296,0.0019811615,9.85328381637075e-07,0.0027398060258273,0.0017596781,9.606507012323513e-07,2.017046410681559e-06,-2.2105873e-05,5.819152230950446e-10
0.25,0.2,0.0019512237534934,0.0021688566,4.736403898326296e-08,0.0019772722706994,0.0016152561,1.3105572877912735e-07,2.8882126499653636e-06,-1.6443431e-05,3.737124608011919e-10
0.2404508497187474,0.1706107373853764,0.0028879081753887,0.0023458228,2.9385660676867005e-07,0.0009969850003458,0.0014772713,2.3067494734432285e-07,2.1445721495247617e-06,-4.5858324e-05,2.304277997849944e-09
0.2154508497187474,0.1524471741852423,0.0030980406690704,0.0025221333,3.3166930838352417e-07,0.0004145942220384,0.001417011,1.0048394419834969e-06,9.165575071149204e-07,-0.00024270266,5.935032457359565e-08
0.1845491502812526,0.1524471741852423,0.0025679991501151,0.0023700222,3.919485800745216e-08,0.0003424055250549,0.0015268326,1.4028674498276568e-06,5.266822366530889e-07,-0.0004123971,1.7050603888705585e-07
0.1595491502812526,0.1706107373853764,0.001483789885885,0.0023713931,7.878395440483948e-07,0.0004129783060019,0.0014823377,1.1435295418519934e-06,3.545495703002625e-07,-0.00021780282,4.759263902783289e-08
0.15,0.2,0.0006360809981242,0.0022026524,2.4541459407937107e-06,0.0006728873093324,0.0015946627,8.496698087510937e-07,2.762748256870155e-07,-0.00015873462,2.5284464551610327e-08
0.1595491502812526,0.2293892626146237,0.0004319513060777,0.0020521507,2.6250459682053506e-06,0.0015636643534788,0.0017384887,3.056354310297813e-08,3.913478772640026e-07,-0.00017613918,3.116302582220698e-08
0.1845491502812527,0.2475528258147577,0.0003860830279071,0.0021408424,3.07918037722802e-06,0.0024914128554044,0.0017635822,5.297374198380697e-07,5.819413306510766e-07,-0.00020004064,4.024941951656288e-08
0.2154508497187474,0.2475528258147577,0.0004607241295643,0.0018821582,2.0204748729248463e-06,0.0029546600230117,0.0018731356,1.1696951495756043e-06,9.871571286247465e-07,-0.0001442805,2.110269024926608e-08
1.1,0.0,0.002561078096225,0.0038964972,1.7833441560151748e-06,0.0019236897412501,0.0008738339,1.102197298473246e-06,4.868898788157663e-06,-0.00069173425,4.852559529762327e-07
1.1,0.41,0.0023933783234447,0.00063642114,3.0868985303719284e-06,0.0020667591217976,0.002850622,6.14440915730701e-07,4.865471255179045e-06,0.00091908127,8.357905279449022e-07
0.0,0.205,0.0004568607602955,0.002530776,4.301124273235533e-06,0.0003661618751499,0.0017727911,1.978605909078375e-06,1.5411463886294013e-07,-0.0012508705,1.5650626510776234e-06
0.55,0.0,0.0049029976471085,0.003378354,2.3245382111307727e-06,0.0003831368416216,0.00067839026,8.717458372797088e-08,1.750129336597999e-06,0.00034921616,1.207326446598653e-07
0.55,0.41,0.0003487279751623,0.0006911382,1.1724476749200853e-07,0.0041182863015092,0.0027233958,1.945719443039618e-06,1.3868979666759489e-06,0.0004753843,2.2467353238178188e-07
0.275,0.0,0.0055975939059193,0.003471218,4.521474282651428e-06,0.0001887279543933,0.00062286854,1.8847804624999691e-07,9.521728409292452e-07,-4.2386353e-05,1.8782278234430275e-09
0.275,0.41,0.0002208603701972,0.00078412145,3.1726304825865397e-07,0.0041689940030669,0.0026679635,2.253092556753616e-06,8.31500726485126e-07,8.3871186e-05,6.8955892937157815e-09
1.65,0.41,0.0022909990218061,0.0013178214,9.470745997334388e-07,0.0018933807126104,0.0030650198,1.3727382588021172e-06,4.355218710743478e-06,-0.00054528564,3.021050759245119e-07
1.65,0.0,0.0021469635458797,0.004578136,5.910599052635749e-06,0.0019977667440548,0.0010879636,8.277417953494797e-07,4.306453928200152e-06,-0.002155833,4.666202228420436e-06
0.8250000000000001,0.41,0.0013812616026631,0.00059797615,6.135361032854599e-07,0.0030265793060731,0.0027793348,6.112985391565969e-08,3.892006052866823e-06,0.0008671358,7.451898871055079e-07
0.8250000000000001,0.0,0.0033452639853772,0.003555797,4.432416728354731e-08,0.0014052576838319,0.00076660514,4.078770733029469e-07,4.448855449698936e-06,4.079193e-05,1.3208189782308884e-09
1.375,0.0,0.0021891578089407,0.0042376146,4.196175110320803e-06,0.0021236510087843,0.0009810627,1.3055081560742414e-06,4.6563300368650314e-06,-0.0014237985,2.0404832057168628e-06
1.375,0.41,0.0024231648398632,0.0009772405,2.090697188412406e-06,0.0019196951303921,0.002958089,1.0782620636053245e-06,4.663335448359459e-06,0.0001867041,3.313883965938521e-08
1.925,0.0,0.0020411616461175,0.004919134,8.28272533254752e-06,0.0018552717609533,0.0011956394,4.3511488872517194e-07,3.803902215735941e-06,-0.0028880164,8.362624676046739e-06
1.925,0.41,0.0021054202917229,0.0016588792,1.9939892830167746e-07,0.0018523159203801,0.0031727254,1.7434812970512645e-06,3.917810537418427e-06,-0.0012774989,1.6420287883263575e-06
1.5125,0.205,0.0022817607810374,0.0019244775,1.2765133032902872e-07,0.0021310680171927,0.0021880567,3.2477108095150805e-09,4.844052386653648e-06,0.00071708113,5.072816540875168e-07
1.7875,0.205,0.0023586097209287,0.0014580116,8.110770337923563e-07,0.0019373667152466,0.0024416149,2.5426619779711855e-07,4.583424191229765e-06,0.0010098144,1.0104893975646712e-06
0.6875,0.205,0.0008878986305482,0.0017383918,7.233386595478569e-07,0.0035238851901198,0.0022207797,1.6980840294990602e-06,2.900938608832033e-06,-0.00045134872,2.0634275414602177e-07
0.9625,0.205,0.0024634920853686,0.0019926652,2.2167792658005182e-07,0.0021773295400638,0.0021232963,2.9195952643536175e-09,4.555975974817769e-06,-5.4366887e-05,3.4719037358673044e-09
1.2375,0.205,0.0024789269813429,0.0028391108,1.2973237723125509e-07,0.0020518152890768,0.0016691089,1.4646420500493273e-07,4.9504761308435354e-06,0.0006178245,3.7561456280713594e-07
2.2,0.205,0.002136090592696,0.0017147884,1.7749555671021367e-07,0.0018981407719165,0.0025482476,4.2263885640346483e-07,4.072412631592068e-06,0.0006523058,4.202065009569412e-07
0.4687002074688797,0.2068568464730291,0.0041848248529729,0.0033918843,6.287547723594361e-07,0.0006715133817389,0.0012176037,2.982146176465983e-07,2.308994727869029e-06,9.0152025e-07,1.9809843995815997e-12
1.99375,0.2152743902439024,0.0021862357183076,0.0030281767,7.088646585999021e-07,0.0019766883254576,0.002077043,1.0071072040191379e-08,4.338303940594532e-06,-0.00025450438,6.699953638089554e-08
2.0625,0.0,0.0019844279988734,0.0047265515,7.519241148127858e-06,0.0017821701178645,0.0009900033,6.275281922331457e-07,3.554394767977392e-06,-0.0030912682,9.57792714937167e-06
2.0625,0.41,0.0020136971555895,0.0018293485,3.398442514255202e-08,0.0017781050359319,0.0032261312,2.0967797741148315e-06,3.5976756293403263e-06,-0.0016436055,2.713278401498688e-06
2.2,0.3075,0.0020365642286394,0.001754187,7.973687243866077e-08,0.0018035401879033,0.002891034,1.182642547452384e-06,3.691096941042551e-06,-0.00023893267,5.886629187838795e-08
0.4125,0.0,0.005446023062772,0.0034248456,4.085158190933458e-06,0.000197531777668,0.0006509721,2.0560815123160392e-07,1.045224938046341e-06,0.0001533404,2.319382012336532e-08
0.4125,0.41,0.0002376298725579,0.0007372722,2.496424583382325e-07,0.0042917986986025,0.002695471,2.548261966944377e-06,9.777779987942658e-07,0.00027964264,7.765410617485876e-08
1.7875,0.41,0.0021848311201505,0.0014884695,4.849194488155247e-07,0.0018819253142902,0.0031187832,1.5298175173829324e-06,4.129019085863706e-06,-0.0009114817,8.383429495077974e-07
